umineko-aabf34.netlify.app/:1 Access to fetch at 'https://vldb.gsi.go.jp/sokuchi/geomag/api/declination?lat=34.0193106&lon=131.8361972' from origin 'https://umineko-aabf34.netlify.app' has been blocked by CORS policy: The 'Access-Control-Allow-Origin' header contains multiple values 'http://vldb.gsi.go.jp https://vldb.gsi.go.jp', but only one is allowed. Have the server send the header with a valid value.
vldb.gsi.go.jp/sokuchi/geomag/api/declination?lat=34.0193106&lon=131.8361972:1  Failed to load resource: net::ERR_FAILED
mapController.js:169 [DEBUG-RM2] mode=HeadingUp raw=279.2 current=289.7 target=-10.5
mapController.js:169 [DEBUG-RM2] mode=HeadingUp raw=279.2 current=289.7 target=-10.5
mapController.js:169 [DEBUG-RM2] mode=HeadingUp raw=279.2 current=289.7 target=-10.5
mapController.js:169 [DEBUG-RM2] mode=HeadingUp raw=279.2 current=289.7 target=-10.5
mapController.js:169 [DEBUG-RM2] mode=HeadingUp raw=279.2 current=289.7 target=-10.5
mapController.js:169 [DEBUG-RM2] mode=HeadingUp raw=279.2 current=289.7 target=-10.5
mapController.js:169 [DEBUG-RM2] mode=HeadingUp raw=279.2 current=289.7 target=-10.5
mapController.js:169 [DEBUG-RM2] mode=HeadingUp raw=279.2 current=289.7 target=-10.5
mapController.js:169 [DEBUG-RM2] mode=HeadingUp raw=279.2 current=289.7 target=-10.5
mapController.js:169 [DEBUG-RM2] mode=HeadingUp raw=279.2 current=289.7 target=-10.5
mapController.js:169 [DEBUG-RM2] mode=HeadingUp raw=279.1 current=289.7 target=-10.6
mapController.js:169 [DEBUG-RM2] mode=HeadingUp raw=279.0 current=289.7 target=-10.7
mapController.js:169 [DEBUG-RM2] mode=HeadingUp raw=279.0 current=289.7 target=-10.7
mapController.js:169 [DEBUG-RM2] mode=HeadingUp raw=279.0 current=289.7 target=-10.7
mapController.js:169 [DEBUG-RM2] mode=HeadingUp raw=279.0 current=289.7 target=-10.7
mapController.js:169 [DEBUG-RM2] mode=HeadingUp raw=279.0 current=289.7 target=-10.7
mapController.js:169 [DEBUG-RM2] mode=HeadingUp raw=279.0 current=289.7 target=-10.7
mapController.js:169 [DEBUG-RM2] mode=HeadingUp raw=279.0 current=289.7 target=-10.7
mapController.js:169 [DEBUG-RM2] mode=HeadingUp raw=279.0 current=289.7 target=-10.7
mapController.js:169 [DEBUG-RM2] mode=HeadingUp raw=279.0 current=289.7 target=-10.7
mapController.js:169 [DEBUG-RM2] mode=HeadingUp raw=279.0 current=289.7 target=-10.7
mapController.js:169 [DEBUG-RM2] mode=HeadingUp raw=278.8 current=288.7 target=-9.9
mapController.js:169 [DEBUG-RM2] mode=HeadingUp raw=278.8 current=288.7 target=-9.9
mapController.js:169 [DEBUG-RM2] mode=HeadingUp raw=278.8 current=288.7 target=-9.9
mapController.js:169 [DEBUG-RM2] mode=HeadingUp raw=278.8 current=288.7 target=-9.9
mapController.js:169 [DEBUG-RM2] mode=HeadingUp raw=278.8 current=288.7 target=-9.9
